 ,Area,Mean,Min,Max,Length
1,0.023,53.068,4.919,197.879,2.740
2,0.022,65.479,1.384,191.000,2.581
3,0.014,57.285,5.068,204.603,1.621
4,0.027,73.768,1.326,247.375,3.195
5,0.030,96.471,3.168,254.313,3.591
6,0.023,77.848,8.327,197.451,2.800
7,0.023,45.901,0.974,231.428,2.747
8,0.021,72.936,7.258,223.227,2.571
9,0.021,40.186,3.532,166.912,2.550
