 ,Area,Mean,Min,Max,Length
1,0.053,22.782,0.012,254.003,5.711
2,0.039,22.434,0.000,252.977,4.240
3,0.027,117.150,9.179,187.457,2.918
4,0.024,65.824,1.412,189.485,2.616
5,0.041,72.308,0.523,245.907,4.365
6,0.031,74.453,0.333,242.849,3.352
7,0.030,115.354,21.092,253.660,3.210
8,0.029,87.899,1.772,196.907,3.119
9,0.036,99.384,0.709,252.053,3.883
10,0.034,89.367,1.493,252.401,3.697
11,0.025,103.826,0.485,175.842,2.722
12,0.030,101.757,7.091,251.282,3.254
13,0.031,116.089,4.705,237.190,3.342
