 ,Area,Mean,Min,Max,Length
1,0.030,73.145,1.327,149.530,3.838
2,0.031,100.095,22.796,224.997,3.978
3,0.024,96.850,1.084,212.044,3.027
4,0.027,70.600,1.614,137.291,3.416
