 ,Area,Mean,Min,Max,Length
1,0.013,108.276,1.352,251.628,2.738
2,0.012,137.555,2.083,253.250,2.568
3,0.011,121.665,1.357,254.396,2.311
4,0.013,68.408,0.000,253.798,2.901
5,0.014,75.253,0.338,245.097,2.941
