 ,Area,Mean,Min,Max,Length
1,0.014,104.517,20.580,178.609,3.188
2,0.009,39.776,2.396,218.540,1.928
3,0.010,84.616,25.524,171.000,2.213
4,0.022,105.772,10.391,210.346,5.032
