 ,Area,Mean,Min,Max,Length
1,0.027,61.401,0.683,252.218,2.552
2,0.025,49.165,0.792,238.284,2.379
3,0.023,12.642,0.584,153.746,2.193
4,0.027,31.332,0.994,182.294,2.619
5,0.032,35.251,0.362,249.215,3.118
6,0.029,44.836,0.402,221.261,2.784
7,0.023,22.285,3.056E-10,160.000,2.199
8,0.026,35.581,1.141,129.567,2.471
9,0.029,32.479,0.477,241.123,2.764
10,0.023,39.482,4.516,169.181,2.239
11,0.028,38.133,2.301,239.643,2.673
12,0.019,35.698,0.070,80.199,1.834
13,0.056,69.829,4.073,253.780,5.357
14,0.036,52.763,0.306,253.423,3.443
15,0.037,26.410,0.021,172.903,3.565
16,0.028,53.756,1.176,254.608,2.674
17,0.027,53.787,1.202,251.433,2.573
18,0.039,25.154,0.097,248.426,3.778
19,0.020,21.446,0.703,165.846,1.955
20,0.038,19.201,0.000,122.243,3.672
21,0.024,47.255,0.365,252.007,2.266
22,0.039,85.419,0.119,253.930,3.777
23,0.027,33.136,0.965,232.617,2.621
24,0.028,39.939,1.726,134.537,2.733
25,0.028,52.501,0.604,214.330,2.690
26,0.036,45.928,0.162,249.759,3.509
27,0.028,70.044,1.970,250.295,2.665
28,0.029,55.603,3.117,253.017,2.772
29,0.029,66.908,3.372,253.083,2.766
30,0.028,38.710,0.358,99.936,2.736
