 ,Area,Mean,Min,Max,Length
1,0.049,67.365,0.652,247.466,4.332
2,0.038,62.651,0.667,124.527,3.390
3,0.019,60.609,1.085,111.291,1.668
4,0.018,47.272,0.065,184.183,1.629
5,0.017,51.471,0.853,84.803,1.511
6,0.022,48.086,0.667,148.000,1.947
7,0.017,33.049,0.094,126.000,1.531
8,0.026,56.126,0.668,172.103,2.320
9,0.026,99.091,0.000,169.187,2.326
