 ,Area,Mean,Min,Max,Length
1,0.018,78.192,5.283,148.131,2.927
2,0.020,86.639,3.600,214.958,3.274
3,0.020,79.923,5.369,232.438,3.206
4,0.016,41.169,1.160,191.744,2.546
