 ,Area,Mean,Min,Max,Length
1,0.040,80.938,0.000,157.383,6.537
2,0.041,57.179,0.000,132.211,6.613
3,0.030,86.310,0.774,218.630,4.829
4,0.032,85.323,0.000,150.163,5.281
5,0.021,89.057,8.616,253.303,3.437
6,0.018,114.502,40.617,214.930,2.953
7,0.016,113.333,44.728,188.321,2.541
