 ,Area,Mean,Min,Max,Length
1,0.022,96.259,3.934,239.960,3.180
2,0.024,87.188,1.244,225.638,3.490
3,0.029,144.478,3.589,234.561,4.153
4,0.027,160.484,16.814,227.082,3.872
