 ,Area,Mean,Min,Max,Length
1,0.007,104.206,0.341,246.450,1.873
2,0.007,91.689,0.000,252.560,1.980
3,0.009,69.247,0.421,162.413,2.329
4,0.009,45.752,0.000,247.537,2.289
5,0.005,59.025,0.000,204.917,1.399
6,0.005,62.785,0.333,171.328,1.241
