 ,Area,Mean,Min,Max,Length
1,0.032,152.791,46.303,226.770,4.218
2,0.022,135.925,18.639,199.454,2.886
3,0.009,73.444,24.940,210.266,1.238
4,0.013,67.929,21.730,252.667,1.770
5,0.024,72.022,7.938,216.191,3.141
6,0.024,69.918,22.390,252.644,3.241
7,0.026,67.098,2.643,251.597,3.434
