 ,Area,Mean,Min,Max,Angle,Length
1,0.020,93.119,0.594,220.800,-160.602,2.433
2,0.020,104.779,0.671,246.185,25.560,2.473
3,0.017,108.658,0.224,252.509,5.194,2.142
