"Tow_number","Date","TimeLocal","DayNight","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","MeshSize","Net_number","DepthStart","DepthEnd","DepthInterval","VolFilt","Temp","Sal","FracBiom","VolFiltM3","Tow_net","Ship"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,6,300,200,100,550.7,11.005,35.473,4,1015.7,"10 _ 6","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,7,200,150,50,265.7,11.155,35.486,4,499.7,"10 _ 7","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,8,150,100,50,240.4,11.459,35.522,4,451.7,"10 _ 8","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,9,100,50,50,283,11.642,35.534,4,528.7,"10 _ 9","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,10,50,0,50,342.6,NA,NA,4,528.2,"10 _ 10","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,2,1000,750,250,1092.1,10.595,35.417,4,2016,"11 _ 2","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,3,750,500,250,735.9,10.86,35.441,4,1373.7,"11 _ 3","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,4,500,400,100,546.6,10.856,35.442,4,1023,"11 _ 4","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,5,400,300,100,411.7,10.892,35.446,4,770.4,"11 _ 5","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,6,300,200,100,586.5,10.963,35.449,4,1097.8,"11 _ 6","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,7,200,150,50,385.2,11.131,35.466,4,720.9,"11 _ 7","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,8,150,100,50,293.6,11.38,35.497,4,550.9,"11 _ 8","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,9,100,50,50,240.1,12.37,35.52,4,449.7,"11 _ 9","Cook"
"11","5/7/21","2:02:00","Night",48.97581667,-15.06758333,48.97653333,-15.09196667,222,10,50,0,50,347.3,NA,NA,4,523.9,"11 _ 10","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,2,1000,750,250,794,10.447,35.426,2,1488.1,"47 _ 2","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,3,750,500,250,905.1,10.861,35.46,2,1710.7,"47 _ 3","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,4,500,400,100,646.4,10.885,35.458,2,1207,"47 _ 4","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,5,400,300,100,532.9,10.963,35.462,2,997.1,"47 _ 5","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,6,300,200,100,762,11.205,35.491,2,1426.9,"47 _ 6","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,7,200,150,50,235.6,11.398,35.514,2,440.8,"47 _ 7","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,8,150,100,50,234.1,12.065,35.546,2,439.8,"47 _ 8","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,9,100,50,50,265.3,12.367,35.544,4,495.8,"47 _ 9","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,10,50,0,50,430.4,NA,NA,2,477.6,"47 _ 10","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,2,1000,750,250,757.2,10.476,35.428,2,1408.1,"48 _ 2","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,3,750,500,250,752.9,10.863,35.592,2,1411.4,"48 _ 3","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,4,500,400,100,725.3,10.912,35.461,2,1368,"48 _ 4","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,5,400,300,100,471.3,10.975,35.462,2,885,"48 _ 5","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,6,300,200,100,509.7,11.175,35.485,2,953,"48 _ 6","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,7,200,150,50,233,11.331,35.504,2,435.7,"48 _ 7","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,8,150,100,50,383.9,11.912,35.561,2,720.2,"48 _ 8","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,9,100,50,50,327,12.508,35.561,2,613.8,"48 _ 9","Cook"
"48","5/17/21","22:25:00","Night",48.93951667,-14.84025,48.99251667,-15.04583333,222,10,50,0,50,336.5,NA,NA,2,443.4,"48 _ 10","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,2,1000,750,250,965.6,10.515,35.432,4,1808.2,"89 _ 2","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,3,750,500,250,828.9,10.85,35.46,4,1553.6,"89 _ 3","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,4,500,400,100,533.6,10.904,35.589,4,993.1,"89 _ 4","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,5,400,300,100,611.8,10.964,35.462,4,1156.7,"89 _ 5","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,6,300,200,100,628.1,11.186,35.487,4,1180.8,"89 _ 6","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,7,200,150,50,257.6,11.446,35.508,4,482,"89 _ 7","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,8,150,100,50,256.8,12.361,35.571,4,480.4,"89 _ 8","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,9,100,50,50,331.1,12.557,35.562,4,617.4,"89 _ 9","Cook"
"89","5/26/21","10:16:00","Day",48.74221667,-14.86193333,48.59166667,-14.8163,222,10,50,0,50,360.6,NA,NA,4,490.3,"89 _ 10","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,2,1000,750,250,755.5,10.578,35.434,4,1418.8,"90 _ 2","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,3,750,500,250,840.9,10.874,35.46,4,1573.7,"90 _ 3","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,4,500,400,100,672,10.937,35.46,4,1255.8,"90 _ 4","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,5,400,300,100,663.5,11.1,35.476,4,1243,"90 _ 5","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,6,300,200,100,656.1,11.565,35.523,4,1227.7,"90 _ 6","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,7,200,150,50,237.4,11.959,35.553,4,443.9,"90 _ 7","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,8,150,100,50,280.3,12.533,35.567,4,522.6,"90 _ 8","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,9,100,50,50,286.7,12.656,35.573,4,536.9,"90 _ 9","Cook"
"90","5/26/21","21:18:00","Night",48.74331667,-14.87821667,48.83481667,-15.10875,222,10,50,0,50,365.8,NA,NA,4,510.7,"90 _ 10","Cook"
