 ,Area,Mean,Min,Max,Angle,Length
1,0.019,96.162,15.879,172.667,-69.647,2.223
2,0.017,87.598,5.984,135.325,-68.895,2.054
3,0.018,114.925,99.364,187.589,-69.027,2.160
