 ,Area,Mean,Min,Max,Angle,Length
1,0.015,178.034,150.025,198.396,-92.148,2.219
2,0.014,182.209,169.333,195.333,-91.528,2.080
3,0.015,177.662,166.046,187.523,-91.450,2.191
