 ,Mean,StdDev,Min,Max,Angle,Length
1,154.301,51.094,51,254.833,-54.462,6.256
2,145.338,58.983,55,255,-113.728,9.037
3,108.279,22.051,66.713,209,-139.675,22.477
,,,,,,37.77
