"tow","net","fraction","bin","count","depth","hdif","split","freq","tv","Density_m3","bin2","NBV_m3","BM_m3","oxy_m3","CO2_m3","Abundance_m2","NBV_m2","BM_m2","oxy_m2","CO2_m2","gray_mode"
"m10","n10","5000","1.1",1,25,50,0.5,2,528.2,0.00378644452858766,1.1,2.05022766784435,0.029728301183743,0.000754233723539732,0.000656183339479567,0.189322226429383,102.511383392217,1.48641505918715,0.0377116861769866,0.0328091669739783,27
"m10","n9","2000","0.4",2,75,50,0.5,4,528.7,0.00756572725553244,0.4,0.0416360149658392,0.000603722217004669,0.000301226719243287,0.00026206724574166,0.378286362776622,2.08180074829196,0.0301861108502334,0.0150613359621643,0.013103362287083,109.5
"m11","n10","5000","0.4",1,25,50,0.5,2,523.9,0.00381752242794426,0.4,0.0193566034546541,0.000280670750092485,0.00017876412930105,0.000155524792491914,0.190876121397213,0.967830172732706,0.0140335375046242,0.00893820646505251,0.00777623962459569,152
"m11","n10","9900","0.9",3,25,50,1,3,523.9,0.0057262836419164,0.9,0.970473808141063,0.0140718702180454,0.000597829479668162,0.000520111647311301,0.28631418209582,48.5236904070532,0.703593510902271,0.0298914739834081,0.0260055823655651,46.6666666666667
"m11","n10","9900","1",8,25,50,1,8,523.9,0.0152700897117771,1,5.38835816714263,0.0781311934235682,0.00234590933994301,0.00204094112575042,0.763504485588853,269.417908357132,3.90655967117841,0.117295466997151,0.102047056287521,38.25
"m11","n10","9900","1.1",13,25,50,1,13,523.9,0.0248138957816377,1.1,14.4520115811447,0.209554167926598,0.00516660919066025,0.00449494999587442,1.24069478908189,722.600579057233,10.4777083963299,0.258330459533013,0.224747499793721,33.4615384615385
"m11","n10","9900","1.2",6,25,50,1,6,523.9,0.0114525672838328,1.2,16.6904594857265,0.242011662543035,0.00444059592938497,0.00386331845856492,0.57262836419164,834.522974286327,12.1005831271517,0.222029796469248,0.193165922928246,38.1666666666667
"m11","n9","2000","0.1",1,75,50,0.5,2,449.7,0.0044474093840338,0.1,0.00416684532720464,6.04192572444672e-05,0.000173721751114419,0.000151137923469545,0.22237046920169,0.208342266360232,0.00302096286222336,0.00868608755572096,0.00755689617347723,243
"m47","n10","1000","0.3",1,24.95,49.9,0.125,8,430.4,0.0185873605947955,0.3,0.0361591625315921,0.000524307856708085,0.000833527029197805,0.00072516851540209,0.927509293680297,1.80434221032644,0.0261629620497334,0.0415929987569705,0.0361859089185643,162
"m47","n10","2000","0.2",1,24.95,49.9,0.25,4,430.4,0.00929368029739777,0.2,0.0156647006617859,0.000227138159595895,0.000415030494808775,0.000361076530483634,0.463754646840149,0.781668563023114,0.0113341941638352,0.0207100216909579,0.0180177188711334,240
"m47","n2","5000","0.8",1,875,250,0.25,4,794,0.00503778337531486,0.8,0.513862006131989,0.00745099908891384,0.000368588821502642,0.000320672274707298,1.25944584382872,128.465501532997,1.86274977222846,0.0921472053756604,0.0801680686768245,243
"m47","n2","5000","0.9",1,875,250,0.25,4,794,0.00503778337531486,0.9,0.953065656040731,0.0138194520125906,0.000500765387830579,0.000435665887412603,1.25944584382872,238.266414010183,3.45486300314765,0.125191346957645,0.108916471853151,254
"m47","n2","5000","1",1,875,250,0.25,4,794,0.00503778337531486,1,2.97209330452397,0.0430953529155975,0.00100427507635744,0.000873719316430972,1.25944584382872,743.023326130992,10.7738382288994,0.25106876908936,0.218429829107743,38
"m47","n3","5000","0.8",2,625,250,0.25,8,905.1,0.00883880234228262,0.8,0.78983219049465,0.0114525667621724,0.000621437400800665,0.000540650538696578,2.20970058557066,197.458047623663,2.86314169054311,0.155359350200166,0.135162634674145,242.5
"m47","n3","5000","1",2,625,250,0.25,8,905.1,0.00883880234228262,1,3.03170414895502,0.0439597101598478,0.00125221696002935,0.00108942875522553,2.20970058557066,757.926037238755,10.9899275399619,0.313054240007336,0.272357188806383,62
"m47","n5","2000","1",1,350,100,0.25,4,532.9,0.00750609870519797,1,2.76710403583234,0.0401230085195689,0.00111446269113925,0.000969582541291146,0.750609870519797,276.710403583234,4.01230085195689,0.111446269113925,0.0969582541291146,242
"m47","n5","5000","0.8",2,350,100,0.25,8,532.9,0.0150121974103959,0.8,1.95284856054457,0.0283163041278962,0.00125125710326794,0.00108859367984311,1.5012197410396,195.284856054457,2.83163041278962,0.125125710326794,0.108859367984311,50
"m47","n5","5000","0.9",1,350,100,0.25,4,532.9,0.00750609870519797,0.9,1.4375918486707,0.0208450818057251,0.000763043529237231,0.000663847870436391,0.750609870519797,143.75918486707,2.08450818057251,0.0763043529237231,0.0663847870436391,254
"m47","n6","5000","0.9",1,250,100,0.25,4,762,0.005249343832021,0.9,1.0318509760382,0.0149618391525539,0.000545041567175803,0.000474186163442949,0.5249343832021,103.18509760382,1.49618391525539,0.0545041567175803,0.0474186163442949,29
"m47","n9","5000","0.3",1,74.55,49.3,0.25,4,265.3,0.0150772710139465,0.3,0.0828525726072847,0.00120136230280563,0.000633900441760828,0.00055149338433192,0.743309460987561,4.08463182953914,0.0592271615283175,0.0312512917788088,0.0271886238475637,113
"m48","n10","5000","0.8",1,24.9,49.8,0.25,4,336.5,0.011887072808321,0.8,1.41203948381372,0.020474572515299,0.00106304656281952,0.000924850509652985,0.591976225854383,70.3195662939233,1.01963371126189,0.0529397188284122,0.0460575553807186,44
"m48","n2","5000","0.7",1,875,250,0.25,4,757.2,0.00528262017960909,0.7,0.465957381485117,0.0067563820315342,0.000363184682308698,0.000315970673608567,1.32065504490227,116.489345371279,1.68909550788355,0.0907961705771746,0.0789926684021419,47
"m48","n2","5000","0.8",1,875,250,0.25,4,757.2,0.00528262017960909,0.8,0.638575443722768,0.00925934393398013,0.000418523226788502,0.000364115207305996,1.32065504490227,159.643860930692,2.31483598349503,0.104630806697125,0.0910288018264991,254
"m48","n3","2000","0.8",1,625,250,0.25,4,752.9,0.00531279054323283,0.8,0.700423922542924,0.0101561468768724,0.000445198462340995,0.000387322662236666,1.32819763580821,175.105980635731,2.5390367192181,0.111299615585249,0.0968306655591664,66
"m48","n3","2000","0.9",1,625,250,0.25,4,752.9,0.00531279054323283,0.9,1.15609096629986,0.0167633190113479,0.000577279190935495,0.00050223289611388,1.32819763580821,289.022741574964,4.19082975283698,0.144319797733874,0.12555822402847,77
"m48","n3","5000","0.7",1,625,250,0.25,4,752.9,0.00531279054323283,0.7,0.247631400537171,0.00359065530778898,0.000294055319633757,0.000255828128081368,1.32819763580821,61.9078501342927,0.897663826947244,0.0735138299084392,0.0639570320203421,92
