% Tow: M-10-001   RV Sarmiento de Gamboa/SG2105
% Date: 06/05/2021
% Temperature Probe #  5164    Conductivity Probe #  120
% Pressure Probe #  155    Oxygen Probe #  1650
% Transmissometer #   1268    Fluorometer #  1518    Irradiance Probe #  2301
% Flow Meter Calibration  4.63 (m/count)  
% time    pres  echo    temp   theta   sal     sigma  angle flow   hzvel    vtvel    vol     net  fluor   ptran    oxygen   Irradcurrent   Irradiance   lat       lon
% 20
126.876285 0003.7 0000 14.203 14.202 50.000 37.782 86 000000 000.0 -006.96 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876331 0003.8 0000 12.666 12.666 50.000 38.140 88 000000 000.0 -007.16 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876377 0003.7 0000 12.685 12.684 50.000 38.135 85 000000 000.0 -006.96 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876586 0003.9 0000 12.722 12.721 50.000 38.127 87 000000 000.0 -007.37 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876632 0004.1 0000 12.600 12.600 50.000 38.155 86 000000 000.0 -007.78 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876771 0004.4 0000 12.643 12.642 50.000 38.145 85 000000 000.0 -008.18 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876817 0004.0 0000 12.676 12.676 50.000 38.137 87 000000 000.0 -007.58 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876863 0004.3 0000 12.768 12.767 50.000 38.117 86 000000 000.0 -007.98 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876910 0004.3 0000 12.697 12.696 50.000 38.133 87 000000 000.0 -001.03 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.876956 0004.3 0000 12.639 12.638 50.000 38.146 86 000000 000.0 -000.83 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877002 0004.4 0000 12.613 12.612 50.000 38.152 86 000000 000.0 -001.23 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877049 0004.6 0000 12.716 12.715 50.000 38.129 87 000000 000.0 -001.22 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877095 0004.3 0000 12.667 12.666 50.000 38.140 86 000000 000.0 -000.22 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877141 0004.5 0000 12.636 12.636 50.000 38.146 87 000000 000.0 -000.21 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877187 0004.6 0000 12.641 12.640 50.000 38.145 87 000000 000.0 -001.01 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877234 0004.6 0000 12.710 12.709 50.000 38.130 86 000000 000.0 -000.61 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877280 0004.3 0000 12.729 12.728 50.000 38.125 87 000000 000.0 -000.01 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877326 0004.5 0000 12.717 12.717 50.000 38.128 87 000000 000.0 -000.41 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877373 0004.6 0000 12.708 12.707 50.000 38.130 86 000000 000.0 -000.41 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877419 0004.7 0000 12.651 12.650 50.000 38.143 86 000000 000.0 -000.21 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877465 0004.6 0000 12.694 12.693 50.000 38.133 87 000000 000.0 -000.61 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877512 0004.7 0000 12.711 12.710 50.000 38.130 87 000000 000.0 -000.41 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877558 0004.6 0000 12.664 12.663 50.000 38.140 87 000000 000.0 -000.01 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877604 0004.6 0000 12.695 12.694 50.000 38.133 86 000000 000.0 -000.01 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877650 0004.5 0000 12.688 12.687 50.000 38.135 86 000000 000.0 -000.41 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877697 0004.6 0000 12.670 12.669 50.000 38.139 88 000000 000.0 -000.21 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877743 0004.7 0000 12.714 12.713 50.000 38.129 86 000000 000.0 -000.21 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877789 0004.8 0000 12.775 12.774 50.000 38.115 87 000000 000.0 -000.20 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877836 0004.7 0000 12.689 12.688 50.000 38.135 87 000000 000.0 -000.21 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.877882 0004.6 0000 12.655 12.654 50.000 38.142 86 000000 000.0 000.19 00000.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
