% Tow: M-10-001   RV Sarmiento de Gamboa/SG2105
% Date: 06/05/2021
% Temperature Probe #  5164    Conductivity Probe #  120
% Pressure Probe #  155    Oxygen Probe #  1650
% Transmissometer #   1268    Fluorometer #  1518    Irradiance Probe #  2301
% Flow Meter Calibration  4.63 (m/count)  
% time    pres  echo    temp   theta   sal     sigma  angle flow   hzvel    vtvel    vol     net  fluor   ptran    oxygen   Irradcurrent   Irradiance   lat       lon
% 20
126.506794 0009.5 0000 14.391 14.389 50.000 37.737 39 000021 005.9 -017.87 01075.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506806 0009.3 0000 12.443 12.442 50.000 38.190 37 000021 005.9 -017.46 01075.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506817 0009.8 0000 12.451 12.449 50.000 38.189 34 000021 005.9 -018.46 01075.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506829 0009.4 0000 12.446 12.445 50.000 38.190 40 000021 005.9 -017.66 01075.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506840 0009.3 0000 12.450 12.449 50.000 38.189 45 000022 006.2 -017.46 01132.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506852 0009.3 0000 12.455 12.453 50.000 38.188 44 000022 006.2 -017.46 01132.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506863 0009.2 0000 12.460 12.459 50.000 38.186 43 000022 006.2 -017.25 01132.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506887 0009.3 0000 12.492 12.491 50.000 38.179 44 000022 006.2 -017.45 01132.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506898 0009.5 0000 12.519 12.517 50.000 38.173 41 000022 006.2 -017.85 01132.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506910 0009.9 0000 12.470 12.468 50.000 38.184 40 000022 006.2 -018.65 01132.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
126.506921 0010.3 0000 12.448 12.446 50.000 38.189 38 000022 006.2 -019.24 01132.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
