% Tow: M-10-006   RV Sarmiento de Gamboa/SG2105
% Date: 14/05/2021
% Temperature Probe #  5164    Conductivity Probe #  120
% Pressure Probe #  155    Oxygen Probe #  1650
% Transmissometer #   1268    Fluorometer #  1518    Irradiance Probe #  2301
% Flow Meter Calibration  4.63 (m/count)  
% time    pres  echo    temp   theta   sal     sigma  angle flow   hzvel    vtvel    vol     net  fluor   ptran    oxygen   Irradcurrent   Irradiance   lat       lon
% 20
134.012674 0020.6 0000 50.000 49.992 50.000 24.681 17 000008 002.3 -038.63 00590.5 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.012720 0022.5 0000 12.656 12.653 50.000 38.143 16 000008 002.3 -042.22 00590.5 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.012766 0022.9 0000 12.648 12.644 50.000 38.145 21 000009 002.5 -043.02 00687.8 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.012813 0022.4 0000 12.650 12.647 50.000 38.144 14 000009 002.5 -042.03 00687.8 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.012859 0022.1 0000 12.647 12.644 50.000 38.145 27 000010 002.8 -041.43 00777.3 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.012905 0022.8 0000 12.650 12.646 50.000 38.144 16 000010 002.8 -042.83 00777.3 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.012951 0022.0 0000 12.649 12.646 50.000 38.144 26 000011 003.1 -041.23 00867.7 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.012998 0023.8 0000 12.647 12.644 50.000 38.145 24 000011 003.1 -044.62 00867.7 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.013044 0022.9 0000 12.645 12.642 50.000 38.145 30 000011 000.8 -004.40 00867.7 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.013090 0025.3 0000 12.643 12.639 50.000 38.146 24 000011 000.8 -005.20 00867.7 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
134.013137 0026.0 0000 12.640 12.636 50.000 38.146 28 000012 000.8 -005.79 00931.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
