% Tow: M-10-003   RV Sarmiento de Gamboa/SG2105
% Date: 07/05/2021
% Temperature Probe #  5164    Conductivity Probe #  120
% Pressure Probe #  155    Oxygen Probe #  1650
% Transmissometer #   1268    Fluorometer #  1518    Irradiance Probe #  2301
% Flow Meter Calibration  4.63 (m/count)  
% time    pres  echo    temp   theta   sal     sigma  angle flow   hzvel    vtvel    vol     net  fluor   ptran    oxygen   Irradcurrent   Irradiance   lat       lon
% 20
127.450417 0006.4 0000 12.733 12.732 50.000 38.125 48 000239 067.2 -011.96 10388.3 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450463 0006.2 0000 12.419 12.418 50.000 38.196 46 000240 067.5 -011.56 10441.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450509 0006.0 0000 12.419 12.418 50.000 38.196 45 000241 067.8 -011.16 10494.2 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450556 0005.6 0000 12.420 12.419 50.000 38.195 42 000243 068.3 -010.56 10597.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450602 0005.4 0000 12.418 12.418 50.000 38.196 50 000244 068.6 -010.16 10646.2 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450648 0005.8 0000 12.416 12.415 50.000 38.196 50 000245 068.9 -010.96 10695.3 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450694 0005.4 0000 12.419 12.418 50.000 38.195 51 000246 069.2 -010.16 10743.0 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450741 0005.2 0000 12.417 12.417 50.000 38.196 47 000247 069.5 -009.76 10793.7 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450787 0006.2 0000 12.418 12.417 50.000 38.196 48 000248 002.5 000.40 10836.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450833 0005.7 0000 12.414 12.413 50.000 38.197 42 000249 002.5 000.80 10884.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450880 0006.1 0000 12.416 12.416 50.000 38.196 47 000250 002.5 -000.20 10928.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450926 0005.6 0000 12.419 12.418 50.000 38.196 44 000251 002.3 000.00 10975.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.450972 0005.7 0000 12.418 12.417 50.000 38.196 43 000252 002.3 -000.60 11023.4 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451019 0005.7 0000 12.414 12.413 50.000 38.197 42 000253 002.3 000.20 11071.5 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451065 0005.9 0000 12.414 12.413 50.000 38.197 47 000253 002.0 -000.99 11071.5 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451111 0005.8 0000 12.415 12.414 50.000 38.196 44 000254 002.0 -001.20 11118.9 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451157 0005.7 0000 12.415 12.415 50.000 38.196 50 000255 002.0 000.80 11160.2 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451204 0006.2 0000 12.414 12.413 50.000 38.197 49 000256 002.0 -000.79 11203.4 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451250 0006.4 0000 12.414 12.413 50.000 38.197 49 000257 002.0 -000.60 11246.4 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451296 0006.7 0000 12.409 12.408 50.000 38.198 40 000257 001.7 -001.99 11246.4 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451343 0006.2 0000 12.405 12.404 50.000 38.199 34 000258 001.7 -000.79 11301.7 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451389 0006.5 0000 12.407 12.406 50.000 38.198 46 000259 001.7 -001.39 11347.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451435 0007.2 0000 12.404 12.403 50.000 38.199 43 000259 001.7 -002.39 11347.6 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451493 0006.1 0000 12.407 12.406 50.000 38.198 40 000260 001.7 -000.40 11397.7 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
127.451539 0006.3 0000 12.412 12.411 50.000 38.197 46 000261 001.7 -000.99 11443.4 00 0.0000 000.000 00.000 00.0000 00.00000 00.0000 000.0000
