Ship,Tow_number,Net_number,Taxon,Fish.ID,Image.Name,ImageJ.Number,Std_length_mm,Notes,Tow_net,cruise_no,fish_no,packet_no,lowest_taxa_final,taxa_code_final,taxa_code_final_method,taxa_code_original,taxa_updated_date,visual_ID_confidence,photo_ID,total_weight,gut_weight_full,gut_weight_empty,gut_dispensation,sex,sex_confidence,gonad_weight,head_collected,body_location,fish_comments,processed_date,processed_initials,taxa_code,Lowest_taxon
Sarmiento,2,4,Myctophidae,MOC2-Net4-Myc-2,SG2105_MOC2_Net4_ImageJ,2,24.906,NA,2 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,4,Myctophidae,MOC2-Net4-Myc-3,SG2105_MOC2_Net4_ImageJ,3,22.449,NA,2 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,4,Myctophidae,MOC2-Net4-Myc-4,SG2105_MOC2_Net4_ImageJ,4,24.4335,NA,2 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,4,Myctophidae,MOC2-Net4-Myc-5,SG2105_MOC2_Net4_ImageJ,5,24.087,NA,2 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,4,Myctophidae,MOC2-Net4-Myc-6,SG2105_MOC2_Net4_ImageJ,6,26.166,NA,2 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,4,Myctophidae,MOC2-Net4-Myc-7,SG2105_MOC2_Net4_ImageJ,7,24.192,NA,2 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,3,1,Alepocephalidae,MOC3-Net1-Ale-1,SG2105_MOC3_Net1_ImageJ,1,16.443,NA,3 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,3,1,Gonostomatidae,MOC3-Net1-Gon-1,SG2105_MOC3_Net1_ImageJ,2,30.408,NA,3 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,3,1,Gonostomatidae,MOC3-Net1-Gon-2,SG2105_MOC3_Net1_ImageJ,3,27.8985,head only,3 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-1,SG2105_MOC4_Net1_ImageJ,1,32.2875,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-3,SG2105_MOC4_Net1_ImageJ,3,13.839,broken body fragment,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-4,SG2105_MOC4_Net1_ImageJ,4,11.655,broken body fragment,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,1,Gonostomatidae,MOC4-Net1-Gon-5,SG2105_MOC4_Net1_ImageJ,5,30.87,NA,4 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
