 ,Mean,StdDev,Min,Max,Angle,Length
1,165.601,52.282,115,255,0.761,2.934
2,161.3,54.459,97,255,-57.4,5.301
3,128.717,53.94,81.568,255,-84.144,2.036
,,,,,,10.271
