 ,Mean,StdDev,Min,Max,Angle,Length
1,79.16,20.943,50.054,129.137,-31.905,5.043
2,100.619,17.79,79.001,202.295,-73.814,8.187
3,103.551,11.064,90.15,168,70.017,6.824
4,125.88,17.372,99.748,176.704,40.914,2.645
,,,,,,22.699
