 ,Mean,StdDev,Min,Max,Angle,Length
1,199.316,57.947,99.743,255,-42.634,5.221
2,177.765,21.121,142.426,247.667,13.887,3.404
3,169.025,27.9,143.843,248.615,-13.9,2.487
4,206.496,34.647,146.236,255,-123.491,1.945
,,,,,,13.057
