 ,Mean,StdDev,Min,Max,Angle,Length
1,65.753,31.683,19,237,-55.727,6.001
2,78.228,10.894,56.349,107.661,-23.787,6.643
3,81.364,5.853,70.167,100.62,10.091,7.19
4,97.946,23.563,70.053,186.317,-10.897,3.808
,,,,,,23.642
